"Date of Calibration = August 30, 2018"			
			
"Date Printed: Friday, August 31, 2018   7:02 AM"						
Antenna Manufacturer:  Schwarzbeck; Pasternack			
Antenna Model:  VULB 9163; PE7047-4			
Antenna Serial No.:  01164; 08292018A			
Temperature:  20¡C			
Humidity:  76%			
Measurement Distance in Meters =  3			
Antenna Polarization = HORZ			
			
"NOTES: Observed Pin Depth:   -0.0039"" from typical."			
			
CAL CERT #: 180829-112838-349c1f			
			
  Freq	ACF	Gain	Num
  (MHz)	(dB)	(dBi)	GAIN
30	15.4	-15.7	0.03
31	15	-15	0.03
32	14.9	-14.6	0.03
33	15.1	-14.5	0.04
34	15.3	-14.5	0.04
35	15.6	-14.5	0.04
36	16	-14.7	0.03
37	16.4	-14.8	0.03
38	16.7	-14.9	0.03
39	17.1	-15	0.03
40	17.3	-15.1	0.03
41	17.6	-15.1	0.03
42	17.9	-15.2	0.03
43	18.1	-15.3	0.03
44	18.3	-15.2	0.03
45	18.5	-15.2	0.03
46	18.6	-15.2	0.03
47	18.7	-15.1	0.03
48	18.8	-15	0.03
49	18.8	-14.8	0.03
50	18.8	-14.6	0.03
51	18.8	-14.5	0.04
52	18.8	-14.2	0.04
53	18.7	-14	0.04
54	18.5	-13.7	0.04
55	18.4	-13.4	0.05
56	18.2	-13	0.05
57	18	-12.7	0.05
58	17.7	-12.2	0.06
59	17.4	-11.8	0.07
60	17.1	-11.4	0.07
61	16.8	-10.9	0.08
62	16.4	-10.4	0.09
63	16	-9.9	0.1
64	15.7	-9.3	0.12
65	15.2	-8.8	0.13
66	14.8	-8.2	0.15
67	14.3	-7.6	0.17
68	13.9	-7	0.2
69	13.4	-6.4	0.23
70	13	-5.9	0.26
71	12.5	-5.3	0.29
72	12.2	-4.8	0.33
73	11.8	-4.3	0.37
74	11.5	-3.9	0.41
75	11.3	-3.6	0.44
76	11.1	-3.3	0.47
77	11	-3.1	0.49
78	11	-3	0.5
79	11.1	-3	0.5
80	11.2	-3	0.5
81	11.4	-3	0.5
82	11.6	-3.1	0.49
83	11.8	-3.2	0.48
84	12.1	-3.4	0.46
85	12.4	-3.6	0.44
86	12.7	-3.8	0.42
87	13	-4	0.4
88	13.3	-4.2	0.38
89	13.7	-4.5	0.35
90	14	-4.8	0.33
91	14.4	-5	0.31
92	14.8	-5.3	0.3
93	15.1	-5.5	0.28
94	15.4	-5.7	0.27
95	15.7	-5.9	0.26
96	15.9	-6	0.25
97	16.1	-6.1	0.24
98	16.2	-6.2	0.24
99	16.4	-6.2	0.24
100	16.5	-6.3	0.24
101	16.5	-6.2	0.24
102	16.6	-6.2	0.24
103	16.6	-6.1	0.24
104	16.6	-6	0.25
105	16.5	-5.9	0.26
106	16.5	-5.8	0.26
107	16.4	-5.6	0.27
108	16.4	-5.5	0.28
109	16.3	-5.3	0.29
110	16.2	-5.2	0.31
111	16.1	-5	0.32
112	16	-4.8	0.33
113	15.8	-4.6	0.35
114	15.7	-4.4	0.36
115	15.6	-4.2	0.38
116	15.4	-4	0.4
117	15.3	-3.7	0.42
118	15.1	-3.5	0.45
119	15	-3.3	0.47
120	14.8	-3	0.5
121	14.6	-2.8	0.53
122	14.5	-2.6	0.56
123	14.3	-2.3	0.59
124	14.1	-2.1	0.62
125	14	-1.8	0.66
126	13.8	-1.6	0.7
127	13.6	-1.3	0.73
128	13.5	-1.1	0.77
129	13.4	-1	0.8
130	13.3	-0.8	0.84
131	13.1	-0.6	0.87
132	13	-0.4	0.91
133	12.9	-0.2	0.96
134	12.8	0	0.99
135	12.7	0.1	1.02
136	12.6	0.2	1.06
137	12.6	0.4	1.09
138	12.5	0.5	1.12
139	12.5	0.6	1.14
140	12.4	0.7	1.17
141	12.4	0.8	1.2
142	12.4	0.9	1.22
143	12.4	0.9	1.24
144	12.4	1	1.26
145	12.4	1.1	1.28
146	12.4	1.1	1.29
147	12.4	1.2	1.3
148	12.4	1.2	1.32
149	12.4	1.2	1.33
150	12.4	1.3	1.35
151	12.5	1.3	1.35
152	12.5	1.3	1.36
153	12.5	1.4	1.37
154	12.6	1.4	1.38
155	12.6	1.4	1.38
156	12.7	1.4	1.38
157	12.7	1.4	1.38
158	12.8	1.4	1.39
159	12.8	1.4	1.39
160	12.8	1.4	1.39
161	12.9	1.4	1.39
162	13	1.4	1.39
163	13	1.4	1.39
164	13.1	1.4	1.39
165	13.1	1.4	1.39
166	13.1	1.5	1.4
167	13.2	1.5	1.41
168	13.2	1.5	1.43
169	13.2	1.6	1.44
170	13.2	1.6	1.45
171	13.2	1.7	1.47
172	13.2	1.7	1.49
173	13.2	1.8	1.5
174	13.2	1.8	1.52
175	13.2	1.8	1.53
176	13.3	1.8	1.53
177	13.3	1.9	1.53
178	13.4	1.8	1.52
179	13.5	1.8	1.5
180	13.6	1.7	1.48
181	13.7	1.6	1.46
182	13.8	1.6	1.43
183	14	1.5	1.41
184	14.1	1.4	1.38
185	14.3	1.3	1.34
186	14.4	1.2	1.31
187	14.6	1	1.27
188	14.8	0.9	1.23
189	15	0.7	1.18
190	15.2	0.5	1.13
191	15.5	0.3	1.08
192	15.6	0.3	1.06
193	15.7	0.2	1.05
194	15.8	0.2	1.04
195	15.8	0.2	1.04
196	15.9	0.2	1.04
197	15.9	0.2	1.05
198	15.8	0.3	1.07
199	15.8	0.4	1.1
200	15.7	0.6	1.14
201	15.5	0.7	1.18
202	15.4	0.9	1.22
203	15.3	1	1.26
204	15.3	1.1	1.29
205	15.3	1.2	1.31
206	15.2	1.2	1.33
207	15.2	1.3	1.34
208	15.2	1.3	1.35
209	15.2	1.4	1.37
210	15.2	1.4	1.38
211	15.3	1.4	1.39
212	15.3	1.5	1.4
213	15.3	1.5	1.4
214	15.3	1.5	1.41
215	15.4	1.5	1.41
216	15.4	1.5	1.41
217	15.4	1.5	1.41
218	15.5	1.5	1.42
219	15.5	1.5	1.42
220	15.5	1.5	1.42
221	15.6	1.5	1.42
222	15.6	1.5	1.41
223	15.7	1.5	1.42
224	15.7	1.5	1.42
225	15.7	1.5	1.41
226	15.8	1.5	1.41
227	15.8	1.5	1.4
228	15.9	1.5	1.4
229	16	1.4	1.39
230	16	1.4	1.39
231	16.1	1.4	1.38
232	16.1	1.4	1.38
233	16.2	1.4	1.38
234	16.2	1.4	1.37
235	16.3	1.4	1.37
236	16.3	1.3	1.36
237	16.4	1.3	1.36
238	16.4	1.3	1.36
239	16.4	1.4	1.37
240	16.5	1.4	1.36
241	16.5	1.3	1.36
242	16.5	1.3	1.36
243	16.6	1.3	1.36
244	16.6	1.4	1.37
245	16.6	1.4	1.38
246	16.6	1.4	1.38
247	16.7	1.4	1.38
248	16.7	1.4	1.38
249	16.7	1.4	1.38
250	16.8	1.4	1.38
251	16.8	1.4	1.38
252	16.8	1.4	1.37
253	16.9	1.4	1.37
254	16.9	1.4	1.37
255	17	1.4	1.37
256	17	1.3	1.36
257	17.1	1.3	1.35
258	17.1	1.3	1.35
259	17.1	1.3	1.36
260	17.2	1.3	1.36
261	17.2	1.4	1.37
262	17.2	1.4	1.38
263	17.2	1.4	1.39
264	17.2	1.5	1.4
265	17.2	1.5	1.41
266	17.2	1.5	1.42
267	17.2	1.5	1.43
268	17.2	1.6	1.44
269	17.2	1.6	1.45
270	17.2	1.6	1.46
271	17.2	1.7	1.46
272	17.2	1.7	1.47
273	17.2	1.7	1.48
274	17.2	1.7	1.49
275	17.2	1.7	1.5
276	17.3	1.8	1.5
277	17.3	1.8	1.51
278	17.3	1.8	1.52
279	17.3	1.8	1.52
280	17.3	1.8	1.52
281	17.3	1.8	1.52
282	17.4	1.8	1.52
283	17.4	1.8	1.52
284	17.4	1.8	1.52
285	17.5	1.8	1.52
286	17.5	1.8	1.53
287	17.5	1.8	1.53
288	17.6	1.8	1.52
289	17.6	1.8	1.52
290	17.6	1.8	1.52
291	17.6	1.8	1.52
292	17.7	1.8	1.53
293	17.7	1.8	1.53
294	17.7	1.9	1.54
295	17.7	1.9	1.54
296	17.7	1.9	1.55
297	17.7	1.9	1.56
298	17.8	1.9	1.56
299	17.8	1.9	1.56
300	17.8	1.9	1.57
301	17.8	2	1.57
302	17.8	2	1.58
303	17.8	2	1.59
304	17.8	2	1.6
305	17.8	2	1.6
306	17.9	2.1	1.6
307	17.9	2.1	1.61
308	17.9	2	1.6
309	17.9	2.1	1.6
310	18	2.1	1.6
311	18	2	1.6
312	18	2.1	1.6
313	18.1	2.1	1.61
314	18.1	2.1	1.61
315	18.1	2.1	1.6
316	18.1	2	1.6
317	18.2	2	1.59
318	18.2	2	1.59
319	18.3	2	1.58
320	18.3	2	1.58
321	18.4	2	1.57
322	18.4	2	1.57
323	18.4	1.9	1.57
324	18.5	1.9	1.57
325	18.5	1.9	1.56
326	18.5	1.9	1.56
327	18.6	1.9	1.55
328	18.7	1.9	1.54
329	18.7	1.8	1.53
330	18.8	1.8	1.52
331	18.8	1.8	1.51
332	18.8	1.8	1.5
333	18.9	1.8	1.5
334	18.9	1.7	1.49
335	19	1.7	1.49
336	19	1.7	1.49
337	19.1	1.7	1.48
338	19.1	1.7	1.47
339	19.1	1.7	1.46
340	19.2	1.6	1.45
341	19.2	1.6	1.45
342	19.3	1.6	1.44
343	19.3	1.6	1.43
344	19.4	1.5	1.42
345	19.5	1.5	1.41
346	19.5	1.5	1.4
347	19.6	1.4	1.39
348	19.6	1.4	1.38
349	19.7	1.4	1.37
350	19.7	1.4	1.37
351	19.8	1.3	1.36
352	19.8	1.3	1.36
353	19.8	1.3	1.36
354	19.7	1.4	1.4
355	19.6	1.6	1.45
356	19.4	1.8	1.52
357	19.2	2	1.6
358	19.1	2.2	1.66
359	19	2.3	1.7
360	19	2.4	1.72
361	19	2.4	1.72
362	19	2.3	1.72
363	19.1	2.3	1.72
364	19.1	2.3	1.72
365	19.1	2.4	1.72
366	19.1	2.4	1.72
367	19.1	2.4	1.72
368	19.2	2.3	1.72
369	19.2	2.3	1.72
370	19.2	2.3	1.71
371	19.3	2.3	1.71
372	19.3	2.3	1.71
373	19.3	2.3	1.71
374	19.3	2.3	1.7
375	19.4	2.3	1.71
376	19.4	2.3	1.71
377	19.4	2.3	1.72
378	19.4	2.3	1.72
379	19.4	2.3	1.71
380	19.5	2.3	1.71
381	19.5	2.3	1.71
382	19.5	2.3	1.71
383	19.5	2.3	1.71
384	19.6	2.3	1.71
385	19.6	2.3	1.71
386	19.6	2.3	1.7
387	19.7	2.3	1.7
388	19.7	2.3	1.7
389	19.7	2.3	1.7
390	19.7	2.3	1.69
391	19.8	2.3	1.69
392	19.8	2.3	1.7
393	19.8	2.3	1.69
394	19.8	2.3	1.68
395	19.9	2.3	1.68
396	19.9	2.2	1.68
397	19.9	2.2	1.67
398	20	2.2	1.67
399	20	2.2	1.67
400	20	2.2	1.67
401	20	2.2	1.67
402	20	2.2	1.68
403	20.1	2.2	1.67
404	20.1	2.2	1.67
405	20.1	2.2	1.66
406	20.2	2.2	1.65
407	20.2	2.2	1.65
408	20.3	2.2	1.65
409	20.3	2.2	1.64
410	20.3	2.1	1.64
411	20.3	2.1	1.64
412	20.4	2.1	1.64
413	20.4	2.1	1.63
414	20.4	2.1	1.63
415	20.5	2.1	1.62
416	20.5	2.1	1.62
417	20.5	2.1	1.61
418	20.6	2	1.6
419	20.6	2	1.6
420	20.6	2	1.59
421	20.7	2	1.59
422	20.7	2	1.59
423	20.7	2	1.6
424	20.7	2	1.59
425	20.7	2	1.6
426	20.7	2.1	1.6
427	20.8	2.1	1.61
428	20.8	2.1	1.6
429	20.8	2.1	1.61
430	20.8	2.1	1.61
431	20.8	2.1	1.61
432	20.8	2.1	1.62
433	20.8	2.1	1.63
434	20.8	2.1	1.63
435	20.8	2.1	1.64
436	20.8	2.2	1.65
437	20.8	2.2	1.67
438	20.7	2.3	1.69
439	20.7	2.3	1.71
440	20.7	2.4	1.73
441	20.6	2.4	1.75
442	20.6	2.5	1.77
443	20.6	2.5	1.79
444	20.6	2.5	1.79
445	20.6	2.5	1.8
446	20.6	2.6	1.81
447	20.6	2.6	1.82
448	20.6	2.6	1.83
449	20.6	2.7	1.85
450	20.6	2.7	1.86
451	20.6	2.7	1.86
452	20.6	2.7	1.87
453	20.6	2.7	1.88
454	20.6	2.7	1.88
455	20.6	2.7	1.88
456	20.7	2.7	1.87
457	20.7	2.7	1.86
458	20.7	2.7	1.87
459	20.7	2.7	1.87
460	20.7	2.7	1.88
461	20.7	2.8	1.89
462	20.7	2.8	1.9
463	20.7	2.8	1.9
464	20.8	2.8	1.9
465	20.8	2.8	1.89
466	20.8	2.7	1.88
467	20.9	2.7	1.87
468	20.9	2.7	1.86
469	21	2.6	1.84
470	21	2.6	1.82
471	21.1	2.6	1.81
472	21.1	2.6	1.82
473	21.1	2.6	1.83
474	21.1	2.6	1.83
475	21.1	2.6	1.84
476	21.1	2.6	1.84
477	21.1	2.6	1.84
478	21.2	2.6	1.82
479	21.2	2.6	1.82
480	21.3	2.6	1.8
481	21.3	2.5	1.79
482	21.4	2.5	1.78
483	21.4	2.5	1.77
484	21.5	2.4	1.75
485	21.5	2.4	1.75
486	21.5	2.4	1.74
487	21.5	2.4	1.75
488	21.5	2.4	1.75
489	21.5	2.5	1.76
490	21.6	2.4	1.75
491	21.6	2.4	1.75
492	21.6	2.4	1.74
493	21.7	2.4	1.73
494	21.7	2.4	1.72
495	21.8	2.3	1.71
496	21.8	2.3	1.7
497	21.8	2.3	1.69
498	21.8	2.3	1.7
499	21.9	2.3	1.7
500	21.9	2.3	1.69
501	21.9	2.3	1.69
502	22	2.3	1.68
503	22	2.3	1.68
504	22	2.3	1.69
505	22	2.3	1.69
506	22	2.3	1.69
507	22	2.3	1.69
508	22	2.3	1.69
509	22.1	2.3	1.69
510	22.1	2.3	1.68
511	22.1	2.3	1.69
512	22.1	2.3	1.69
513	22.1	2.3	1.69
514	22.1	2.3	1.7
515	22.1	2.3	1.71
516	22.1	2.3	1.71
517	22.1	2.3	1.72
518	22.1	2.4	1.72
519	22.1	2.4	1.73
520	22.1	2.4	1.73
521	22.1	2.4	1.73
522	22.1	2.4	1.74
523	22.1	2.4	1.75
524	22.2	2.4	1.75
525	22.2	2.4	1.76
526	22.2	2.5	1.77
527	22.2	2.5	1.77
528	22.2	2.5	1.78
529	22.2	2.5	1.78
530	22.2	2.5	1.79
531	22.2	2.5	1.8
532	22.2	2.6	1.8
533	22.2	2.6	1.81
534	22.2	2.6	1.82
535	22.1	2.6	1.83
536	22.1	2.6	1.84
537	22.1	2.7	1.85
538	22.1	2.7	1.85
539	22.1	2.7	1.86
540	22.1	2.7	1.87
541	22.1	2.7	1.88
542	22.1	2.8	1.89
543	22.1	2.8	1.89
544	22.1	2.8	1.9
545	22.1	2.8	1.91
546	22.1	2.8	1.92
547	22.1	2.8	1.92
548	22.2	2.8	1.91
549	22.2	2.8	1.91
550	22.2	2.8	1.91
551	22.2	2.8	1.9
552	22.3	2.8	1.89
553	22.3	2.8	1.89
554	22.3	2.8	1.89
555	22.3	2.7	1.88
556	22.4	2.7	1.88
557	22.4	2.7	1.88
558	22.4	2.8	1.89
559	22.4	2.8	1.89
560	22.4	2.8	1.89
561	22.4	2.8	1.9
562	22.4	2.8	1.89
563	22.4	2.8	1.89
564	22.5	2.7	1.88
565	22.5	2.7	1.87
566	22.6	2.7	1.86
567	22.6	2.7	1.86
568	22.6	2.7	1.85
569	22.6	2.7	1.85
570	22.7	2.7	1.84
571	22.7	2.7	1.85
572	22.7	2.7	1.85
573	22.7	2.7	1.85
574	22.7	2.7	1.85
575	22.7	2.7	1.85
576	22.7	2.7	1.84
577	22.8	2.6	1.83
578	22.8	2.6	1.82
579	22.9	2.6	1.81
580	22.9	2.5	1.79
581	23	2.5	1.77
582	23	2.5	1.76
583	23.1	2.4	1.74
584	23.1	2.4	1.73
585	23.2	2.4	1.72
586	23.2	2.4	1.72
587	23.3	2.3	1.71
588	23.3	2.3	1.7
589	23.3	2.3	1.7
590	23.3	2.3	1.69
591	23.4	2.3	1.69
592	23.4	2.3	1.69
593	23.4	2.3	1.69
594	23.4	2.3	1.69
595	23.4	2.3	1.7
596	23.4	2.3	1.7
597	23.4	2.3	1.7
598	23.4	2.3	1.69
599	23.4	2.3	1.7
600	23.4	2.3	1.7
601	23.5	2.3	1.7
602	23.5	2.3	1.7
603	23.5	2.3	1.71
604	23.5	2.3	1.71
605	23.5	2.3	1.71
606	23.5	2.3	1.72
607	23.5	2.4	1.73
608	23.5	2.4	1.73
609	23.5	2.4	1.73
610	23.5	2.4	1.74
611	23.5	2.4	1.74
612	23.5	2.4	1.74
613	23.5	2.4	1.75
614	23.6	2.4	1.74
615	23.6	2.4	1.74
616	23.6	2.4	1.74
617	23.6	2.4	1.74
618	23.6	2.4	1.74
619	23.6	2.4	1.73
620	23.6	2.4	1.74
621	23.6	2.4	1.74
622	23.7	2.4	1.74
623	23.7	2.4	1.74
624	23.7	2.4	1.73
625	23.8	2.4	1.72
626	23.8	2.3	1.71
627	23.8	2.3	1.7
628	23.9	2.3	1.69
629	23.9	2.3	1.68
630	23.9	2.3	1.68
631	24	2.2	1.67
632	24	2.2	1.67
633	24	2.2	1.66
634	24	2.2	1.67
635	24	2.3	1.68
636	24	2.3	1.7
637	23.9	2.3	1.71
638	23.9	2.3	1.72
639	23.9	2.4	1.72
640	24	2.4	1.73
641	24	2.4	1.73
642	24	2.4	1.73
643	24	2.4	1.74
644	24	2.4	1.75
645	23.9	2.5	1.76
646	23.9	2.5	1.77
647	23.9	2.5	1.77
648	23.9	2.5	1.78
649	23.9	2.5	1.79
650	23.9	2.5	1.79
651	23.9	2.5	1.79
652	23.9	2.5	1.8
653	23.9	2.5	1.8
654	24	2.5	1.8
655	24	2.5	1.8
656	24	2.5	1.8
657	24	2.5	1.8
658	24	2.5	1.8
659	24	2.5	1.79
660	24	2.6	1.8
661	24	2.6	1.8
662	24.1	2.6	1.8
663	24.1	2.6	1.8
664	24.1	2.6	1.81
665	24.1	2.6	1.82
666	24.1	2.6	1.82
667	24.1	2.6	1.83
668	24.1	2.6	1.83
669	24.1	2.6	1.83
670	24.1	2.6	1.83
671	24.1	2.6	1.83
672	24.1	2.6	1.84
673	24.1	2.6	1.83
674	24.1	2.6	1.84
675	24.2	2.6	1.82
676	24.2	2.6	1.82
677	24.2	2.6	1.81
678	24.3	2.6	1.81
679	24.3	2.6	1.81
680	24.3	2.5	1.8
681	24.3	2.5	1.79
682	24.3	2.5	1.79
683	24.4	2.5	1.79
684	24.4	2.5	1.79
685	24.4	2.5	1.79
686	24.4	2.5	1.8
687	24.4	2.6	1.8
688	24.4	2.6	1.8
689	24.4	2.6	1.81
690	24.4	2.6	1.82
691	24.4	2.6	1.82
692	24.4	2.6	1.83
693	24.4	2.6	1.84
694	24.4	2.7	1.85
695	24.4	2.7	1.85
696	24.4	2.7	1.85
697	24.4	2.7	1.85
698	24.4	2.7	1.84
699	24.4	2.7	1.85
700	24.4	2.7	1.85
701	24.4	2.7	1.86
702	24.4	2.7	1.87
703	24.4	2.7	1.88
704	24.4	2.8	1.88
705	24.4	2.8	1.89
706	24.4	2.8	1.89
707	24.4	2.8	1.91
708	24.4	2.8	1.92
709	24.3	2.9	1.95
710	24.3	2.9	1.96
711	24.3	2.9	1.96
712	24.3	2.9	1.96
713	24.4	2.9	1.95
714	24.4	2.9	1.95
715	24.4	2.9	1.94
716	24.4	2.9	1.93
717	24.5	2.8	1.92
718	24.5	2.8	1.91
719	24.5	2.8	1.91
720	24.6	2.8	1.9
721	24.5	2.8	1.91
722	24.5	2.8	1.92
723	24.6	2.8	1.91
724	24.6	2.8	1.91
725	24.6	2.8	1.9
726	24.6	2.8	1.9
727	24.7	2.7	1.88
728	24.7	2.7	1.87
729	24.8	2.7	1.84
730	24.9	2.6	1.82
731	24.9	2.6	1.81
732	24.9	2.6	1.8
733	25	2.5	1.79
734	25	2.5	1.78
735	25	2.5	1.78
736	25	2.5	1.78
737	25	2.5	1.78
738	25.1	2.5	1.78
739	25.1	2.5	1.78
740	25.1	2.5	1.78
741	25.1	2.5	1.79
742	25.1	2.5	1.78
743	25.1	2.5	1.78
744	25.2	2.5	1.77
745	25.2	2.5	1.77
746	25.2	2.5	1.77
747	25.2	2.5	1.76
748	25.2	2.5	1.77
749	25.2	2.5	1.78
750	25.2	2.5	1.79
751	25.2	2.6	1.8
752	25.2	2.6	1.81
753	25.1	2.6	1.82
754	25.1	2.6	1.83
755	25.1	2.6	1.83
756	25.1	2.6	1.84
757	25.2	2.6	1.83
758	25.2	2.6	1.83
759	25.2	2.6	1.83
760	25.2	2.6	1.83
761	25.2	2.6	1.82
762	25.2	2.6	1.83
763	25.2	2.6	1.83
764	25.2	2.6	1.83
765	25.2	2.7	1.85
766	25.2	2.7	1.86
767	25.2	2.7	1.87
768	25.2	2.7	1.87
769	25.2	2.7	1.88
770	25.2	2.8	1.89
771	25.2	2.8	1.9
772	25.2	2.8	1.89
773	25.2	2.8	1.89
774	25.2	2.7	1.87
775	25.3	2.7	1.87
776	25.3	2.7	1.86
777	25.3	2.7	1.85
778	25.4	2.7	1.85
779	25.4	2.7	1.84
780	25.4	2.6	1.84
781	25.4	2.6	1.84
782	25.4	2.6	1.84
783	25.4	2.7	1.85
784	25.4	2.7	1.85
785	25.4	2.7	1.86
786	25.4	2.7	1.87
787	25.4	2.7	1.86
788	25.4	2.7	1.87
789	25.4	2.7	1.88
790	25.4	2.8	1.89
791	25.4	2.8	1.89
792	25.4	2.8	1.9
793	25.4	2.8	1.9
794	25.4	2.8	1.9
795	25.4	2.8	1.91
796	25.4	2.8	1.91
797	25.4	2.8	1.91
798	25.4	2.8	1.9
799	25.4	2.8	1.91
800	25.4	2.8	1.92
801	25.4	2.8	1.92
802	25.4	2.8	1.92
803	25.4	2.9	1.93
804	25.5	2.8	1.92
805	25.5	2.8	1.91
806	25.5	2.8	1.91
807	25.5	2.8	1.9
808	25.6	2.8	1.9
809	25.6	2.8	1.9
810	25.6	2.8	1.89
811	25.6	2.8	1.89
812	25.6	2.8	1.89
813	25.6	2.8	1.89
814	25.6	2.8	1.9
815	25.6	2.8	1.89
816	25.6	2.8	1.9
817	25.6	2.8	1.91
818	25.6	2.8	1.91
819	25.7	2.8	1.91
820	25.7	2.8	1.91
821	25.7	2.8	1.92
822	25.6	2.8	1.93
823	25.6	2.9	1.93
824	25.6	2.9	1.94
825	25.6	2.9	1.94
826	25.6	2.9	1.95
827	25.6	2.9	1.96
828	25.6	2.9	1.96
829	25.6	2.9	1.96
830	25.6	2.9	1.97
831	25.6	3	1.97
832	25.7	2.9	1.97
833	25.7	3	1.98
834	25.7	2.9	1.96
835	25.7	2.9	1.95
836	25.7	2.9	1.95
837	25.8	2.9	1.94
838	25.8	2.9	1.95
839	25.8	2.9	1.94
840	25.8	2.9	1.95
841	25.8	2.9	1.96000
842	25.8	2.9	1.96
843	25.8	2.9	1.96
844	25.8	2.9	1.95
845	25.8	2.9	1.95
846	25.8	2.9	1.95
847	25.9	2.9	1.95
848	25.9	2.9	1.95
849	25.9	2.9	1.95
850	25.9	2.9	1.95
851	25.9	2.9	1.96
852	25.9	2.9	1.96
853	25.9	2.9	1.95
854	25.9	2.9	1.95
855	26	2.9	1.94
856	26	2.9	1.94
857	26	2.9	1.94
858	26	2.9	1.94
859	26	2.9	1.93
860	26	2.9	1.93
861	26	2.9	1.93
862	26.1	2.8	1.92
863	26.1	2.8	1.92
864	26.1	2.8	1.93
865	26.1	2.9	1.93
866	26.1	2.9	1.93
867	26.1	2.9	1.94
868	26.1	2.9	1.94
869	26.1	2.9	1.95
